diff	method	para
-0.00132185338040047	alpha_1	simulation4
-0.0481621877635275	alpha_1	simulation4
-0.0350603935326953	alpha_1	simulation4
-0.0526751225878829	alpha_1	simulation4
-0.0563491967659884	alpha_1	simulation4
-0.0542539129743623	alpha_1	simulation4
-0.0869814831358455	alpha_1	simulation4
-0.0325154856952852	alpha_1	simulation4
0.000331044070541671	alpha_1	simulation4
-0.0698848302394641	alpha_1	simulation4
-0.0188544446295175	alpha_1	simulation4
-0.058081084401807	alpha_1	simulation4
-0.0850457412670043	alpha_1	simulation4
-0.067074881797308	alpha_1	simulation4
-0.0198663787862997	alpha_1	simulation4
-0.0702606524594768	alpha_1	simulation4
-0.000607454392354045	alpha_1	simulation4
-0.0616826033466938	alpha_1	simulation4
-0.0213768384324762	alpha_1	simulation4
-0.0588155908116433	alpha_1	simulation4
-0.0703335483925467	alpha_1	simulation4
-0.059638226677438	alpha_1	simulation4
-0.0534910514267	alpha_1	simulation4
-0.0508108912015928	alpha_1	simulation4
-0.00293198782984605	alpha_1	simulation4
-0.0401096686338665	alpha_1	simulation4
-0.0493622341391085	alpha_1	simulation4
-0.0487706729144878	alpha_1	simulation4
-0.0516973462384505	alpha_1	simulation4
-0.0572658266808908	alpha_1	simulation4
-0.0883989105280292	alpha_1	simulation4
-0.0279447109156432	alpha_1	simulation4
-0.00458764162203719	alpha_1	simulation4
-0.0332980982992694	alpha_1	simulation4
-0.0819456100985162	alpha_1	simulation4
-0.0634821797851944	alpha_1	simulation4
-0.0595292103634937	alpha_1	simulation4
-0.0518464853098684	alpha_1	simulation4
-0.0414819833891184	alpha_1	simulation4
-0.0538537853068845	alpha_1	simulation4
-0.00129957266037611	alpha_1	simulation4
-0.0747972570899548	alpha_1	simulation4
-0.0832152158819644	alpha_1	simulation4
-0.0260391094429679	alpha_1	simulation4
-0.0428132441738378	alpha_1	simulation4
-0.0615791667488475	alpha_1	simulation4
-0.0401499749788858	alpha_1	simulation4
-0.0543364468891777	alpha_1	simulation4
-0.00232928694287551	alpha_1	simulation4
-0.0848591521190287	alpha_1	simulation4
-0.0502559063048281	alpha_1	simulation4
-0.0316930460485984	alpha_1	simulation4
-0.0668154487864011	alpha_1	simulation4
-0.0588578643065596	alpha_1	simulation4
-0.0353815860363438	alpha_1	simulation4
-0.0574427739650465	alpha_1	simulation4
-0.000571513971488552	alpha_1	simulation4
-0.048623422420167	alpha_1	simulation4
-0.0312062297219051	alpha_1	simulation4
-0.0735097642937563	alpha_1	simulation4
-0.0835630399419707	alpha_1	simulation4
-0.0635037439936742	alpha_1	simulation4
-0.0255563924104092	alpha_1	simulation4
-0.0619824941652746	alpha_1	simulation4
-1.72492515480016e-05	alpha_1	simulation4
-0.0408448582796855	alpha_1	simulation4
-0.0410737969476086	alpha_1	simulation4
-0.0551613277154932	alpha_1	simulation4
-0.0578027608364942	alpha_1	simulation4
-0.0587483832072804	alpha_1	simulation4
-0.0803082261678161	alpha_1	simulation4
-0.0353378179265007	alpha_1	simulation4
-0.000860603499368923	alpha_1	simulation4
-0.071663053083651	alpha_1	simulation4
-0.0694683096428053	alpha_1	simulation4
-0.0376755773534143	alpha_1	simulation4
-0.0597849002665649	alpha_1	simulation4
-0.0546242726734544	alpha_1	simulation4
-0.0402413029086894	alpha_1	simulation4
-0.0538488765288679	alpha_1	simulation4
-0.00462211640061325	alpha_1	simulation4
-0.105825964385101	alpha_1	simulation4
-0.0650577045220238	alpha_1	simulation4
0.00185729984173866	alpha_1	simulation4
-0.0625885431221575	alpha_1	simulation4
-0.0622227931196034	alpha_1	simulation4
-0.0373428812057522	alpha_1	simulation4
-0.0493631827999517	alpha_1	simulation4
0.0012950910716012	alpha_1	simulation4
-0.0599537300439015	alpha_1	simulation4
-0.0349219984334388	alpha_1	simulation4
-0.0587706787825352	alpha_1	simulation4
-0.0682186560411018	alpha_1	simulation4
-0.0609307836399266	alpha_1	simulation4
-0.0479939615297696	alpha_1	simulation4
-0.0504660339629437	alpha_1	simulation4
-0.000567833346200919	alpha_1	simulation4
-0.0408103997876903	alpha_1	simulation4
-0.0461341023359007	alpha_1	simulation4
-0.0474662597545161	alpha_1	simulation4
-0.0463331106000762	alpha_1	simulation4
-0.0558844492553101	alpha_1	simulation4
-0.0988757592789088	alpha_1	simulation4
-0.0264699982149484	alpha_1	simulation4
-0.00202112424526499	alpha_1	simulation4
-0.0865965569327367	alpha_1	simulation4
-0.0806270297788658	alpha_1	simulation4
-0.0295727459171129	alpha_1	simulation4
-0.0367440672524294	alpha_1	simulation4
-0.0589178814149905	alpha_1	simulation4
-0.0356573868911969	alpha_1	simulation4
-0.0580258183639659	alpha_1	simulation4
-0.0020264301029726	alpha_1	simulation4
-0.0212298446215682	alpha_1	simulation4
-0.0743058130886962	alpha_1	simulation4
-0.0634050609885591	alpha_1	simulation4
-0.0614378675510659	alpha_1	simulation4
-0.0525528879997374	alpha_1	simulation4
-0.0621204252702706	alpha_1	simulation4
-0.0431793318815369	alpha_1	simulation4
-0.00322033033117125	alpha_1	simulation4
-0.0259031270387216	alpha_1	simulation4
-0.0737970231802322	alpha_1	simulation4
-0.0614993660038686	alpha_1	simulation4
-0.0591527943447199	alpha_1	simulation4
-0.0520003091673981	alpha_1	simulation4
-0.0588158349368594	alpha_1	simulation4
-0.0456389997048165	alpha_1	simulation4
-0.00235335838896147	alpha_1	simulation4
-0.0368076683373563	alpha_1	simulation4
-0.0693576825192063	alpha_1	simulation4
-0.0652257028424527	alpha_1	simulation4
-0.0636259867599068	alpha_1	simulation4
-0.0567685031402254	alpha_1	simulation4
-0.0369233825393127	alpha_1	simulation4
-0.0557603101040895	alpha_1	simulation4
-0.000940994297232267	alpha_1	simulation4
-0.0438517055758792	alpha_1	simulation4
-0.0487128507252688	alpha_1	simulation4
-0.0569020870195615	alpha_1	simulation4
-0.0579843331879712	alpha_1	simulation4
-0.058454956959398	alpha_1	simulation4
-0.0666312804922213	alpha_1	simulation4
-0.0414537674756894	alpha_1	simulation4
-0.00152343654057818	alpha_1	simulation4
-0.0458884056192768	alpha_1	simulation4
-0.0391533974687517	alpha_1	simulation4
-0.0454209199007873	alpha_1	simulation4
-0.0480008929815899	alpha_1	simulation4
-0.0588670037991985	alpha_1	simulation4
